date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-07-20,137.0,863563.32600679,1046,145.37891802,138.50001,150.0,150.0,5940.08634673
2017-07-21,146.0,294655.04837737,518,148.76651365,150.0,147.51,152.0,1980.65439015
2017-07-22,145.01,259871.23814975,360,147.02944072,149.39,148.76543,149.5,1767.47756695
2017-07-23,145.01,124795.74422887,272,146.23524728,147.49,146.00001,148.76543,853.39031832
2017-07-24,145.01,231796.00260707,524,146.71010686,147.4,147.7,149.0,1579.95933321
2017-07-25,136.1,573423.92125814,830,141.82337184,148.71618,140.41,148.71618,4043.22583656
2017-07-26,138.89999,176659.80457057,409,141.18560364,143.84,143.0,143.84,1251.25933532
2017-07-27,139.01002,212266.19446969,411,140.9207299,142.99,141.0,143.0,1506.28083333
2017-07-28,131.1,858656.84518362,1412,135.66771042,140.01,131.30001,142.0,6329.11724185
2017-07-29,125.0,337812.83844625,782,131.11789927,133.98,133.5,136.0,2576.40520732
2017-07-30,129.0,210600.22547844,422,131.12469485,133.95,129.55001,134.0,1606.10650582
2017-07-31,126.0,411294.12829287,851,131.79447937,129.55001,132.97,137.44,3120.72349514
2017-08-01,132.25,513675.33688211,1034,139.79838646,132.25,140.96,144.0,3674.40104208
2017-08-02,138.0,242923.67370514,574,140.22208028,139.012,140.0,142.9703,1732.42097982
2017-08-03,136.2,268789.9342708,637,138.88882036,139.999,139.519,140.99,1935.28848164
2017-08-04,137.0,529173.67102939,1039,141.57332233,139.519,146.7,146.9999,3737.80640531
2017-08-05,145.0,659718.10694657,1047,147.92003867,146.7,147.49,151.0,4459.96440283
2017-08-06,145.00001,175264.83249099,354,146.08391025,147.3,145.97,148.99,1199.75452597
2017-08-07,141.0,281540.59932001,681,145.27041416,145.97,146.29999,146.9,1938.04499663
2017-08-08,145.8,688763.24828273,1215,150.61631876,146.1,153.0,155.2,4572.96562528
2017-08-09,152.00001,796530.9065434,1468,158.35261581,153.9,161.0,165.0,5030.10892795
2017-08-10,157.5,554898.00817665,999,160.63561732,159.1,159.89,163.97,3454.38961432
2017-08-11,156.0,690789.617114,912,159.0410049,159.89999,160.3,161.64,4343.46863913
2017-08-12,147.0,562786.49391774,817,154.79893936,160.0,152.0,160.3,3635.59657597
2017-08-13,146.47,627990.26377982,770,149.21010215,152.0,149.0,153.98,4208.76505511
2017-08-14,143.91,1052412.27585765,1379,148.24006949,149.0,150.01,155.0,7099.37791768
2017-08-15,137.00021,912408.52423832,1307,143.24114072,150.01,142.99,151.61,6369.73790955
2017-08-16,141.0,297140.27344355,693,143.92798052,142.9047,142.5,146.0,2064.50665371
2017-08-17,142.01,236388.4131467,667,145.82884664,142.5,148.8,149.0,1620.99899026
2017-08-18,148.071,628240.79828157,1154,151.85953126,148.073,153.42,155.0,4136.98628636
2017-08-19,151.0,159423.39817427,471,153.54192269,154.99,152.6501,155.0,1038.30533957
2017-08-20,150.6,354418.34398149,500,154.06368072,152.77,155.7,157.5,2300.46654943
2017-08-21,152.1,1547216.83956398,2069,159.77813462,155.7,160.0,165.0,9683.53300179
2017-08-22,158.0,344463.75502668,856,160.56517318,160.0,161.75,163.1,2145.32048391
2017-08-23,159.0,1879847.36401257,1763,168.40274571,161.7,173.99999,174.89999,11162.80709114
2017-08-24,165.10005,780292.17632541,1169,173.17216196,173.99999,172.98,176.0,4505.87535253
2017-08-25,170.09001,358668.11645425,796,174.26313449,172.98,174.82935,174.99,2058.19846808
2017-08-26,172.0,320429.92152997,651,176.01754749,174.82935,176.75,178.9,1820.44305296
2017-08-27,177.85,2414497.62575869,2950,201.41552543,177.85,214.9599,220.0,11987.64405387
2017-08-28,203.3,3484143.50598098,4153,230.42496969,214.95,221.75,300.0,15120.51194198
2017-08-29,218.5,2135564.8866,2900,223.75233248,221.75,224.1701,233.5,9544.32457925
2017-08-30,223.55,1460784.86819181,2414,235.08667654,224.5,240.00007,249.9999,6213.81394166
2017-08-31,240.1,3601695.62405758,4532,264.12066187,240.1,274.0,288.0,13636.55383339
2017-09-01,274.0,9944100.66927856,7871,317.58035943,274.0,330.0,355.0,31312.0770038
2017-09-02,280.0,5178499.12202844,4143,305.58021374,329.99999,309.90069,338.99,16946.44773836
2017-09-03,296.0,2034307.68699202,1945,303.10471835,309.90069,304.88,311.89,6711.56720368
2017-09-04,203.0,6522572.00571173,6161,266.89535209,304.85,264.9,305.0,24438.68712858
2017-09-05,256.5,2514117.72771582,2803,279.52546471,263.6078,288.0002,291.89,8994.23503459
2017-09-06,283.0,1660701.82659191,2247,292.37201678,288.0002,291.5,299.0,5680.09840633
2017-09-07,286.0,883930.7930264,1255,292.12183211,291.5,292.101,294.5,3025.89774497
